ticker,company,sample_role,construct,variant_group,variant,baseline_count,variant_count,retained_count,added_count,removed_count,jaccard,retained_share,note
NKE,"Nike, Inc.",main_deep_case,revenue,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
NKE,"Nike, Inc.",main_deep_case,revenue,text,text_top8,5,8,5,3,0,0.625,1.000,Implemented text top-5 varied to top-8.
NKE,"Nike, Inc.",main_deep_case,revenue,xbrl,xbrl_fact_only,22,12,12,0,10,0.545,0.545,Relation paths removed; fact budget unchanged.
NKE,"Nike, Inc.",main_deep_case,revenue,xbrl,xbrl_fact_top8_paths_current,22,18,18,0,4,0.818,0.818,Fact budget reduced from 12 to 8; relation-path budget unchanged.
NKE,"Nike, Inc.",main_deep_case,revenue,xbrl,xbrl_expanded_fact16_path15,22,27,22,5,0,0.815,1.000,Fact budget expanded to 16 and relation-path budget expanded to 15 when available.
NKE,"Nike, Inc.",main_deep_case,inventory,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
NKE,"Nike, Inc.",main_deep_case,inventory,text,text_top8,5,8,5,3,0,0.625,1.000,Implemented text top-5 varied to top-8.
NKE,"Nike, Inc.",main_deep_case,inventory,xbrl,xbrl_fact_only,22,12,12,0,10,0.545,0.545,Relation paths removed; fact budget unchanged.
NKE,"Nike, Inc.",main_deep_case,inventory,xbrl,xbrl_fact_top8_paths_current,22,18,18,0,4,0.818,0.818,Fact budget reduced from 12 to 8; relation-path budget unchanged.
NKE,"Nike, Inc.",main_deep_case,inventory,xbrl,xbrl_expanded_fact16_path15,22,29,22,7,0,0.759,1.000,Fact budget expanded to 16 and relation-path budget expanded to 15 when available.
SBUX,Starbucks Corporation,main_deep_case,revenue,text,text_top3,5,3,3,0,2,0.600,0.600,Implemented text top-5 varied to top-3.
SBUX,Starbucks Corporation,main_deep_case,revenue,text,text_top8,5,8,5,3,0,0.625,1.000,Implemented text top-5 varied to top-8.
SBUX,Starbucks Corporation,main_deep_case,revenue,xbrl,xbrl_fact_only,22,12,12,0,10,0.545,0.545,Relation paths removed; fact budget unchanged.
